evidence_scope,task,support_level,key_metric,value,note
real_symbol_level,frozen_workshop_symbol_level,supported,mean_calibrated_uncertainty_topk_delta,0.22393066449632273,"Fully real symbol-level evidence across Omniglot, Digits, and Kuzushiji-49."
synthetic_from_real_sequence,real_glyph_markov_sequences,supported,mean_calibrated_sequence_exact_delta,0.019097222222222227,Synthetic-from-real sequence exact-match gain with calibrated posteriors.
synthetic_from_real_sequence,real_glyph_markov_sequences,supported,mean_calibrated_sequence_topk_delta,0.07291666666666667,Synthetic-from-real grouped top-k recovery is more stable than exact match.
synthetic_from_real_downstream,real_glyph_process_family_sequences,supported_but_bounded,mean_uncertainty_family_delta,0.047743055555555546,Synthetic-from-real downstream family gains are positive on average but selective.
real_grouped_sequence,real_grouped_manifest_sequences,strengthened_real_grouped,mean_uncertainty_sequence_exact_delta,-0.09027777777777775,Raw uncertainty beam does not improve grouped exact match on average on the strengthened Historical Newspapers grouped benchmark.
real_grouped_sequence,real_grouped_manifest_sequences,strengthened_real_grouped,mean_uncertainty_sequence_topk_delta,0.05555555555555556,Raw uncertainty does improve grouped top-k recovery on the strengthened Historical Newspapers grouped benchmark.
real_grouped_sequence,real_grouped_manifest_sequences,strengthened_real_grouped,mean_uncertainty_symbol_topk_delta,0.06331168831168832,Symbol-level rescue still transfers into the strengthened Historical Newspapers grouped benchmark.
real_grouped_sequence,real_grouped_manifest_sequences,strengthened_real_grouped,mean_conformal_sequence_exact_delta,0.13888888888888887,Conformal pruning gives the clearest grouped exact-match gain on the strengthened Historical Newspapers benchmark.
real_grouped_replication,historical_newspapers_real_grouped_gold,replicated_real_grouped_topk,mean_uncertainty_sequence_topk_delta,0.05555555555555556,Historical Newspapers retains positive grouped top-k rescue after the gold-style upgrade.
real_grouped_replication,scadsai_real_grouped,replicated_real_grouped_topk,mean_uncertainty_sequence_topk_delta,0.3055555555555556,ScaDS.AI also shows positive grouped top-k rescue under the unchanged grouped decoder pack.
real_grouped_replication,two_real_grouped_corpora,replicated_real_grouped_topk,mean_uncertainty_sequence_topk_delta,0.18055555555555555,Grouped top-k rescue is positive across both real grouped corpora.
real_grouped_replication,two_real_grouped_corpora,mixed_real_grouped_exact,mean_conformal_sequence_exact_delta,0.05902777777777776,Conformal exact-match gains are mixed across the two real grouped corpora rather than cleanly replicated.
real_grouped_downstream,historical_newspapers_train_supported_ngram_path,better_covered_real_downstream,mean_downstream_coverage_fraction,0.8777777777777778,Historical Newspapers now has substantial downstream coverage under the train-supported n-gram-path task.
real_grouped_downstream,historical_newspapers_train_supported_ngram_path,better_covered_real_downstream,mean_uncertainty_downstream_exact_delta,-0.09027777777777775,"On Historical Newspapers, raw uncertainty still does not improve exact n-gram-path recovery on average despite the better-covered task."
real_grouped_downstream,scadsai_train_supported_ngram_path,better_covered_real_downstream,mean_downstream_coverage_fraction,1.0,ScaDS.AI has effectively full downstream coverage under the train-supported n-gram-path task.
real_grouped_downstream,scadsai_train_supported_ngram_path,selective_real_downstream,mean_uncertainty_downstream_exact_delta,0.03472222222222223,ScaDS.AI shows a selective positive raw uncertainty exact downstream gain under the noisier cluster-distance setting.
real_grouped_downstream,two_real_grouped_corpora_train_supported_ngram_path,bounded_real_downstream,mean_uncertainty_downstream_exact_delta,-0.02777777777777776,"Across both real grouped corpora, raw uncertainty does not improve exact n-gram-path recovery on average despite the redesigned higher-coverage task."
real_grouped_downstream,two_real_grouped_corpora_train_supported_ngram_path,bounded_real_downstream,mean_conformal_downstream_exact_delta,0.05902777777777776,"Across both real grouped corpora, conformal remains the clearest exact downstream rescue mechanism on average, but the gain is still selective rather than replicated."
real_grouped_downstream,two_real_grouped_corpora_train_supported_ngram_path,coverage_improvement,mean_full_path_coverage_upper_bound,0.8333333333333333,The redesigned task substantially improves the real downstream upper bound relative to exact transcript-bank overlap.
real_grouped_validation,historical_newspapers_gold_style_subset,gold_style_check,gold_pass_agreement_rate,1.0,Gold-style two-pass in-session review produced full pass agreement on the adjudicated test split.
real_grouped_validation,historical_newspapers_gold_style_subset,gold_style_check,gold_ocr_to_label_error_rate,0.015873015873015872,The gold-style subset retains a low OCR-to-label disagreement rate.
real_grouped_validation,historical_newspapers_gold_style_subset,gold_style_check,gold_minus_original_conformal_sequence_exact_delta,0.0,The real grouped metrics were unchanged after upgrading from OCR-derived to gold-style adjudicated labels.
